y,id,temp_c,do_percent,do_mg_l,spc_us,sal_ppt,ph,water_level_cm,turbidity,tdn_umol_l,tdp_umol_l,po4_umol_l,si_umol_l,nox_umol_l,nh4_umol_l,toc_umol_l,cor_tdn_umol_l,cor_tdp_umol_l,cor_po4_umol_l,cor_nox_umol_l,cor_nh4_umol_l
78,KAHOOKELE_43657,31.55,184.4,11.68,48261,31.34,8.06,,,,,,,,,,,,,,
79,KKO_S1.AUWAI_1_43658,24.8,34.25,2.815,230.25,0.11,7.135,,,,,,,,,,,,,,
80,KKO_S3.AUWAI_DAM_43658,23.65,115.85,9.62,181.5,0.08,7.32,,,,,,,,,,,,,,
81,KKO_S5.EXIT_AUWAI_43658,29.9,16.3,1.545,340.3,0.17,2.135,,,,,,,,,,,,,,
82,KKO_S2.LOI_HOI_ 1_43658,27.35,62.35,4.92,235,0.11,7.12,,,,,,,,,,,,,,
83,KKO_S4.NEW_ LOI_AUWAI_43658,24.1,143.6,12.035,181.25,0.08,7.585,,,,,,,,,,,,,,
84,KKO_S6.LOI_3_43658,27.6,110.8,8.805,230.55,0.11,6.805,,,,,,,,,,,,,,
85,Buzz_43665,26.4,124.8,8.78,32.3,20.1,8.07,,,,,,,,,,,,,,
86,Hamakua_43665,33.3,7.8,0.39,32.3,19.96,7.46,,,,,,,,,,,,,,
87,Ulupo.Kawainui_43665,26.9,9.6,0.68,509,0.24,7.81,,,,,,,,,,,,,,
88,Ulupo.Kawainui_pipe_43665,26.6,147.6,11.83,497,0.24,7.91,,,,,,,,,,,,,,
89,Ulupo.Hoi_43665,27.7,145,10.04,911,0.44,7.08,,,,,,,,,,,,,,
90,Ulupo.Spring_43665,25.6,121.6,9.41,595,0.29,7.08,,,,,,,,,,,,,,
91,Kaha_43665,26.2,60.8,4.67,7964,4.4,7.1,,,,,,,,,,,,,,
92,Pikoakea_43815,20.6,129.5,11.63,21.8,0.01,7.44,,,7.11,0.87,0.85,567.1,4.39,BD <0.02,,7.11,0.87,0.85,4.39,0.014142136
93,Ulupo.Spring_43815,24.8,96.2,7.86,588,0.28,7.72,,,162.23,8.94,7.29,538.22,144.37,0.21,,162.23,8.94,7.29,144.37,0.21
94,Ulupo.Hoi_43815,24.4,120.3,9.6,642,0.31,7.47,,,227.05,6.43,4.68,550.67,198.27,3.25,,227.05,6.43,4.68,198.27,3.25
95,Ulupo.Kawainui_pipe_43815,25.5,119.5,9.77,503,0.24,7.86,,,203.52,14.28,11.67,0.73,178.33,0.03,,203.52,14.28,11.67,178.33,0.03
96,Ulupo.Kawainui_43815,25.5,119.5,9.77,503,0.24,7.86,,,52.38,2.72,1.6,97.1,28.98,10.31,,52.38,2.72,1.6,28.98,10.31
97,Waiawia_43815,24.8,9.3,0.7,78.07,4.31,7.09,,,44.76,5.9,5.03,97.15,0.24,11.48,,44.76,5.9,5.03,0.24,11.48
98,Hamakua_43815,27.2,7,0.52,17382,10.2,7.55,,,45.61,3.53,1.91,350.5,0.27,11.57,,45.61,3.53,1.91,0.27,11.57
99,Buzz_43863,24.3,103.4,9.4,14898,7.89,8.33,,,162.5683034,1.13,1.069294378,457.81,5.98,0.11,,162.5683034,1.13,1.069294378,5.98,0.11
